Rep#,Brand,Customer Number,Customer Name,Order Number,Order Date,Invoice Number,Invoice Date,Invoice Line,Invoice Amount,Item Number,Comission %,Comission Amount,Product Type,Discount
S4011,Hekman,19976,BUILD.COM INC,0471027,18/07/16,J470311,18/07/17,1,253.00,23704,7.0,17.71,H,19.90
S4011,Hekman,19976,BUILD.COM INC,0471028,18/07/16,J470312,18/07/17,1,162.00,27748,7.0,11.34,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471025,18/07/16,J470383,18/07/17,1,490.00,23504,7.0,34.30,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471025,18/07/16,J470383,18/07/17,2,980.00,23527,7.0,68.60,H,19.90
S4011,Hekman,19976,BUILD.COM INC,0471025,18/07/16,J470383,18/07/17,3,497.00,23502,7.0,34.79,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471025,18/07/16,J470383,18/07/17,4,"1,121.00",23528,7.0,78.47,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471026,18/07/16,J470384,18/07/18,1,732.00,81640,7.0,51.24,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471273,18/07/20,J470842,18/07/24,1,767.00,79253C,7.0,53.69,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471295,18/07/21,J470843,18/07/24,1,156.00,27695,7.0,10.92,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471295,18/07/21,J470843,18/07/24,2,110.00,27696,7.0,7.70,H,19.50
S4011,Hekman,19976,BUILD.COM INC,0471296,18/07/23,J470921,18/07/24,1,"1,306.00",27336,7.0,91.42,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471382,18/07/23,J471045,18/07/26,1,445.00,27609,7.0,31.15,H,19.90
S4011,Hekman,19976,BUILD.COM INC,0471414,18/07/24,J471046,18/07/26,1,667.00,79252M,7.0,46.69,H,19.90
S4011,Hekman,19976,BUILD.COM INC,0471434,18/07/24,J471047,18/07/26,1,"1,536.00",87236,7.0,107.52,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471434,18/07/24,J471047,18/07/26,2,896.00,87237,7.0,62.72,H,20.10
S4011,Hekman,19976,BUILD.COM INC,0471580,18/07/27,J471160,18/07/30,1,78.00,27695,7.0,5.46,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471593,18/07/27,J471161,18/07/30,1,709.00,27720,7.0,49.63,H,19.90
S4011,Hekman,19976,BUILD.COM INC,0471597,18/07/27,J471162,18/07/30,1,377.00,27731,7.0,26.39,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471435,18/07/24,J471224,18/07/30,1,"1,004.00",23326,7.0,70.28,H,19.90
S4011,Hekman,19976,BUILD.COM INC,0471581,18/07/27,J471225,18/07/30,1,"1,722.00",704180067,7.0,120.54,H,20.00
